"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"1007_s_at",1234.19,1309.2,1383.13,1210.23,1248.48,1100.03,1648.95,1579.4,1354.36,1497.1,1465.93,1308.84,1324.99,1150.65,1153.63,1063.35,1135.31,1231.71,1564.5,1487.67,1421.34,1562.85,1336.44,1477.15
"1053_at",585.673,620.879,507.292,566.525,548.032,599.705,528.505,495.872,547.602,567.817,606.108,670.413,707.39,474.961,643.769,593.143,716.17,789.672,727.391,643.203,564.824,602.009,574.664,754.336
"117_at",61.0709,11.6177,12.9877,68.753,20.8543,46.6007,19.2514,53.9686,60.7547,46.1085,43.7889,11.1542,62.5491,39.9991,36.8776,38.513,27.1016,61.9527,36.5658,7.91642,18.9696,22.8551,34.3594,33.2857
"121_at",439.667,403.174,478.026,452.884,319.736,395.435,471.04,498.05,535.474,487.31,620.513,655.533,341.366,479.823,339.253,398.085,350.039,482.306,570.442,590.896,555.166,553.903,434.848,468.242
"1255_g_at",37.0715,39.1376,21.8136,26.4638,24.2933,50.7775,47.0077,11.1519,8.05777,26.5941,45.4999,35.343,46.0592,23.8845,7.45304,59.1285,7.56544,38.6232,50.3224,28.9087,26.0726,10.9297,45.7153,30.706
"1294_at",644.83,572.549,581.812,539.803,607.311,546.575,661.122,696.956,720.169,656.273,721.456,683.456,624.665,611.455,520.569,627.662,697.295,636.241,827.775,713.404,729.39,791.103,691.833,681.685
"1316_at",116.727,169.18,171.201,129.023,87.7868,112.152,179.487,155.119,143.679,139.655,134.975,111.631,134.391,176.759,101.736,175.682,129.142,166.85,141.866,199.245,128.558,118.703,184.463,118.488
"1320_at",130.858,144.073,158.301,43.1601,111.321,133.921,100.673,126.292,136.207,122.36,94.6819,149.747,156.712,142.41,196.819,135.605,186.893,141.339,98.2698,120.689,125.273,116.153,77.8989,119.574
"1405_i_at",53.8351,33.1807,60.638,59.4059,34.1372,41.6923,14.7909,23.5122,2.9391,5.24257,4.7041,5.08,55.3185,62.9806,47.7075,71.6421,52.1135,64.8275,4.99948,6.32239,5.66495,1.76236,17.2042,2.20479
"1431_at",44.576,41.9264,69.1244,27.283,40.7475,61.8345,26.2924,35.6185,28.6159,17.5631,42.0637,52.8859,20.2158,37.2405,40.3121,56.1947,65.4715,59.5826,5.77039,39.534,47.9129,31.7532,5.86583,26.1185
"1438_at",9.50668,27.2515,8.33883,13.1567,12.9472,12.8882,6.22129,10.7727,13.5402,6.48766,8.69062,7.81837,13.3832,14.2767,6.28451,15.2214,11.2145,7.11733,14.5619,20.506,6.62787,8.75755,16.1082,8.05955
"1487_at",859.399,799.279,919.662,806.456,940.044,898.869,971.485,892.374,943.018,905.876,969.852,964.153,1113.8,970.264,994.601,1016.48,994.868,1021.24,911.578,878.444,826.344,790.7,715.959,821.654
"1494_f_at",123.401,138.316,150.364,87.7333,128.997,132.272,145.974,147.678,136.75,143.197,141.846,109.44,49.3281,97.296,94.7291,116.908,86.0115,66.8524,109.056,72.7354,127.731,82.3176,89.1664,94.3746
"1552256_a_at",482.121,476.988,483.984,444.286,464.945,455.372,1207.91,1183.63,1111.33,1222.97,1008.84,1152.16,561.594,503.083,538.48,557.126,617.822,643.332,885.846,921.335,1029.94,1001.86,1031.42,1032.44
"1552257_a_at",1019.81,919.044,971.343,973.864,991.545,979.383,1105.74,1382.1,1329.02,1361.05,1761.81,1514.1,1113.06,1033.31,1071.89,859.491,1217.56,1101.9,1355.65,1320.55,1124.93,1394.53,1835.26,1585.9
"1552258_at",142.184,92.4423,83.9132,43.214,111.086,83.3037,56.1934,15.824,71.5713,131.34,53.6106,73.7056,55.7079,102.596,90.6223,66.3038,73.5859,123.049,24.2494,36.7861,41.7852,20.4764,89.2397,24.6521
"1552261_at",8.9195,44.4072,15.5002,52.007,63.2479,5.924,50.5535,16.2342,30.5822,21.8692,10.0935,42.3332,38.8728,43.8703,58.6061,14.1117,24.5207,7.02743,31.8717,3.14802,41.1285,37.9235,27.8556,10.7111
"1552263_at",479.575,459.885,446.154,373.989,435.553,439.634,459.658,396.507,419.698,415.918,438.286,370.72,492.191,633.229,451.99,478.099,492.274,447.801,469.652,484.164,408.994,453.266,470.168,431.486
"1552264_a_at",1131.13,1030.86,1283.39,1140.86,1025.09,1160.14,1437.35,1334.87,1361.67,1258.28,1367.82,1344.62,1301.52,1065.22,1226.65,1262.01,1186.48,1063.21,1635.8,1566.64,1567.81,1494.83,1398.8,1318.33
"1552266_at",44.2108,72.3495,66.1789,51.6433,52.9514,19.4491,3.2732,33.7721,46.1006,36.5675,29.8739,59.0744,57.0363,47.0925,33.858,52.0366,68.9283,24.3403,33.3562,32.3746,35.6641,41.9586,34.1548,38.8004
"1552269_at",1.46009,4.40255,4.79277,30.4906,19.0095,26.6888,31.6965,6.47789,2.31182,6.52814,16.2278,10.1271,4.06742,17.3975,2.23355,5.62171,6.74696,1.5398,7.34828,0.870168,25.8628,28.6488,12.818,2.80707
"1552271_at",5.22889,19.6132,10.6712,8.31238,9.89905,8.74195,19.4915,11.1026,9.72647,11.5667,9.05643,22.8015,13.3422,15.6834,9.45489,15.2813,10.2255,10.0365,8.89678,11.1141,21.272,7.82368,7.03554,8.57512
"1552272_a_at",64.1653,96.5478,118.226,141.144,103.698,92.8598,102.263,68.9517,116.633,68.8329,162.18,106.219,114.795,108.841,105.889,123.693,92.9735,116.35,68.8895,107.445,79.3683,149.086,128.723,87.4241
"1552274_at",628.44,573.612,565.224,434.048,381.455,460.474,529.04,527.859,564.372,649.369,677.873,566.857,532.705,473.447,434.308,466.404,390.476,439.149,587.809,696.833,569.365,561.779,693.119,585.384
"1552275_s_at",465.301,571.293,484.712,479.985,465.378,566.949,628.41,606.615,725.646,729.389,715.092,622.553,499.114,477.331,565.591,518.007,469.472,418.557,678.042,611.2,710.995,528.306,569.861,682.831
"1552276_a_at",113.064,234.658,158.528,186,201.245,189.593,176.721,129.323,249.233,86.5089,95.5769,213.329,225.496,73.9097,119.599,171.02,113.834,199.449,177.133,176.27,200.501,233.853,188.873,174.243
"1552277_a_at",2506.48,2596.45,2848.14,2877.49,3046.74,3409.28,2185.64,2107.12,2231.07,2245.53,2317.34,3034.2,3393.66,3452.16,3521.79,4130.27,4274.36,4507.72,1892.74,1882.04,1962.08,1958.72,2246.58,2077.29
"1552278_a_at",31.3843,12.53,45.0952,39.4742,27.7394,56.541,45.2606,70.8396,59.0963,41.7531,29.3921,53.0493,26.5607,30.0531,62.4734,52.9531,95.2446,8.8684,64.3539,89.334,44.9184,88.645,69.1954,67.8497
"1552279_a_at",111.193,92.5032,65.7064,103.626,109.61,82.0779,110.888,108.264,163.742,132.326,206.219,173.135,89.0117,67.6529,108.712,87.387,104.011,126.057,185.672,91.5099,76.3289,172.158,125.941,156.495
"1552280_at",7.57436,37.1114,3.15544,10.8302,20.7032,2.24265,53.4926,27.6248,14.3985,13.1061,7.19834,7.724,8.49065,4.92493,18.1741,40.7048,7.96004,32.6851,4.0912,38.8444,7.82317,7.32194,5.69827,22.9862
"1552281_at",62.902,45.9796,107.631,14.5542,72.8083,65.1762,22.5499,37.1664,119.051,60.2319,15.6767,34.6936,106.892,18.089,11.6157,19.2864,70.9441,26.2978,64.4011,28.3648,18.6901,17.4633,16.0452,41.962
"1552283_s_at",27.2062,25.2755,6.9279,23.9261,15.6566,50.311,29.9084,21.7758,4.68769,3.81783,3.61555,9.278,33.8961,24.4437,15.2999,39.0872,76.4526,11.8058,52.2116,20.2529,31.5578,5.3412,12.024,2.9921
"1552286_at",122.406,85.0141,86.6897,112.328,99.5852,89.7627,101.091,117.376,148.149,173.3,119.014,141.406,154.716,152.439,93.0859,98.522,78.4669,135.615,127.435,106.534,100.821,136.756,87.3597,126.09
"1552287_s_at",326.231,265.638,305.718,320.946,429.825,362.128,281.039,259.042,368.48,287.817,316.165,351.245,312.061,359.074,342.189,376.639,457.563,371.958,254.987,264.308,355.082,283.347,305.23,295.213
"1552288_at",1.53019,7.88555,5.99465,5.15165,4.87459,1.65705,23.9232,5.3323,4.8527,3.94707,2.18213,3.8888,1.73013,2.91502,4.45104,18.5388,15.6496,3.96536,5.54271,33.2902,7.91524,21.8098,16.9026,9.38361
"1552289_a_at",17.6788,76.9955,36.0011,53.8678,51.7679,33.0088,34.9008,9.76015,43.9377,49.0521,9.39215,32.8263,51.1014,42.0933,43.5715,53.6387,10.4994,16.6112,46.9081,4.5897,32.8843,41.5566,8.31177,37.8121
"1552291_at",901.433,953.331,758.803,884.979,899.544,1004.5,290.273,241.743,248.879,311.818,298.1,271.124,701.613,1011.21,870.915,816.958,887.885,749.279,290.422,290.951,156.64,315.779,359.048,258.637
"1552293_at",3.4704,8.47281,6.93601,7.13915,79.2381,13.1851,16.7388,85.5759,23.0101,31.967,51.3046,50.3996,13.2154,5.04038,12.7656,6.20598,12.0057,15.5739,9.91,16.52,13.315,72.3972,33.7796,18.8744
"1552295_a_at",1445.05,1417,1481.95,1329.79,1302.38,1270.96,1513.62,1497.59,1580.93,1472.57,1443.38,1486.28,1483.84,1560.78,1799.03,1675.35,1759.39,1607.47,1264.46,1281.19,1594.7,1231.01,1409.56,1518.71
"1552296_at",16.1691,16.5224,13.1298,14.4781,17.7336,4.02889,30.7906,33.6026,32.242,6.54483,8.58805,9.6817,14.6748,2.64647,12.6092,12.8059,43.8912,19.4293,43.8659,43.38,38.9397,5.97,37.2304,48.2316
"1552299_at",79.3298,44.5235,78.2568,58.2474,72.1215,49.1792,50.1929,25.9454,33.2607,3.76575,53.0267,7.50725,72.1561,81.4168,23.0655,40.9095,71.8263,131.668,7.35727,64.7629,39.5454,27.8643,69.7087,41.8629
"1552301_a_at",73.3827,67.7629,55.1257,99.5323,107.756,81.7469,68.5984,60.4996,77.1824,68.2042,100.96,147.596,65.8859,104.624,68.9094,86.2137,109.497,131.915,122.564,114.27,97.2835,60.6599,70.0531,112.977
"1552302_at",206.519,169.516,188.727,186.152,202.139,154.955,104.67,63.567,64.5333,75.5993,98.9262,108.307,155.495,178.55,192.498,175.49,189.823,153.497,78.3147,89.7581,44.2999,68.7752,83.7022,69.667
"1552303_a_at",226.059,306.793,215.288,230.72,156.705,220.51,254.195,193.116,196.048,185.741,152.223,169.998,227.39,187.222,203.714,215.854,193.508,196.112,154.079,151.832,166.819,223.229,170.715,168.265
"1552304_at",33.0618,4.54447,70.3009,48.3093,56.5258,51.6528,28.0442,27.2813,21.8443,87.1375,52.2273,55.0001,27.7387,4.24679,48.4236,72.659,38.046,72.7615,38.3437,19.716,34.3697,49.3851,77.7996,43.107
"1552306_at",114.852,138.731,113.237,113.01,125.186,110.665,143.543,122.911,152.274,144.158,139.028,195.25,132.668,166.306,117.458,106.218,139.258,84.3114,172.053,141.713,129.739,174.067,138.073,141.287
"1552307_a_at",28.2669,11.8078,48.0824,3.96608,27.0966,8.22282,41.872,51.029,42.8629,44.7313,15.0925,80.8665,5.77845,2.86195,7.46241,19.1955,5.55969,11.1299,65.7255,64.9721,12.0354,29.672,60.4284,74.6936
"1552309_a_at",1563.78,1543.71,1576.24,1381.71,1400.66,1335.14,1238.89,1407.48,1275.74,1248.58,1270.93,1389.23,1400.73,1409.37,1261.35,1383.53,1485.4,1590.6,951.185,855.362,1135.79,1141.48,1362.14,1066.19
"1552310_at",636.82,506.031,616.212,612.384,607.292,556.143,661.543,713.034,665.364,681.067,650.093,697.372,637.127,628.138,607.28,660.957,641.076,621.068,773.537,751.719,742.542,802.132,761.655,720.14
"1552311_a_at",132.504,125.259,232.664,202.068,120.997,179.799,234.626,263.123,138.138,218.296,36.1085,167.514,229.292,92.7018,194.654,181.613,109.199,248.006,114.788,168.135,178.396,184.59,190.938,183.805
"1552312_a_at",796.705,939.247,908.73,850.681,1095.08,870.442,621.192,711.57,805.685,798.426,920.777,788.009,836.286,639.103,825.49,689.888,772.357,734.907,891.478,993.312,856.777,978.033,915.034,910.871
"1552314_a_at",103.415,154.368,99.493,73.2436,71.8857,82.1568,99.5987,110.275,64.3685,118.471,108.263,119.273,79.552,80.0879,119.825,108.616,94.9259,72.9153,95.5936,100.015,76.7023,101.785,132.759,115.597
"1552315_at",1587.93,1470.7,1611.84,1525.69,1379.35,1445.95,1581.03,1338.6,1416.88,1499.68,1608.07,1220.02,1235.22,1530.99,1192.44,1245.19,1225.82,1127.04,2143.3,1834.89,2118.32,1672.25,1803.22,1728.62
"1552316_a_at",2651.55,2427.72,2331.16,2523.21,2832.81,2912.15,2862.49,2477.87,2691.09,2748.83,3001.96,2689.81,2221.09,2970.96,2075.09,2350.92,2559.35,2336.88,2392.31,3080.92,2325.69,2583.83,3123.92,2721.75
"1552318_at",2909.9,2212.63,2440.43,2285.91,2078.59,2190.6,2971.38,2475.34,1622.12,2565.63,1598.39,1811.98,2257.04,2543.19,1904.95,2107.57,2454.73,2214.54,2002.22,1929.81,1554.98,2797.44,2611.35,2568.4
"1552319_a_at",17.6624,11.9714,9.10768,9.39786,12.0191,8.99558,23.7897,33.5738,37.3474,45.5564,10.5233,3.84841,11.483,8.50463,29.2727,15.4992,5.93063,21.3064,16.9187,16.1187,9.23584,43.1284,6.35883,51.3784
"1552320_a_at",31.5301,36.6932,45.7911,21.0967,37.0415,5.04499,35.8042,19.6924,47.4581,47.8125,23.7852,43.7915,44.5655,25.9533,49.9065,31.7772,24.91,6.20212,37.6099,33.0152,29.3473,19.6169,25.4895,56.5756
"1552321_a_at",12.8649,5.70615,2.73555,2.02208,8.31965,5.09084,2.35689,4.05545,3.90615,5.12835,6.15435,4.26179,5.39643,30.9477,4.01711,3.54929,6.90742,7.45521,21.3534,4.9948,30.7393,5.80165,27.1431,4.65586
"1552322_at",0.840931,13.3432,10.6573,16.958,27.5848,4.64538,10.4893,16.1996,13.855,0.945613,22.1653,23.9099,4.51214,10.1559,13.3429,8.01325,34.3081,19.5178,16.3312,22.1157,8.70087,2.91825,2.98811,13.4947
"1552323_s_at",59.2485,50.8933,64.1574,82.2873,36.0185,51.2116,52.6459,41.6426,45.5952,38.368,38.7912,55.0491,11.6992,60.3444,47.676,49.0326,40.0793,30.9606,55.2614,59.732,12.8739,29.6161,32.5405,38.404
"1552325_at",2.30054,1.38844,11.0817,6.36883,2.32862,26.0209,25.9777,26.4348,17.2131,19.9305,26.8879,3.22973,18.6427,11.6076,8.78671,15.3857,17.8387,31.2629,3.78722,36.6101,20.4689,25.4403,34.089,2.51066
"1552326_a_at",3.74149,4.52059,10.3217,5.89302,2.79435,6.37427,9.60508,14.5675,7.76518,35.1013,32.7185,44.7689,12.4708,2.43143,5.72663,17.2347,20.6052,24.8374,4.01218,8.5,5.09087,15.353,33.1772,2.69945
"1552327_at",35.4244,58.4177,44.2257,46.4861,42.1477,30.2274,18.6933,70.1185,27.1376,2.78534,6.19253,50.901,57.5516,46.1884,43.9836,32.0009,46.4442,42.2947,9.69557,14.9094,26.4196,3.80567,21.104,21.5481
"1552329_at",297.397,207.05,186.805,261.012,301.215,310.433,267.445,225.023,290.099,283.689,306.279,338.69,245.53,310.349,292.855,271.84,198.399,282.12,273.488,282.98,187.066,272.76,253.617,287.044
"1552330_at",632.613,606.801,674.524,687.985,711.717,681.767,548.323,485.038,555.989,534.665,541.881,580.679,685.86,690.537,702.395,674.128,673.992,742.584,565.007,598.815,503.361,528.639,558.998,555.321
"1552332_at",77.4762,66.0805,240.848,142.06,325.278,313.997,118.694,56.1281,83.4336,60.4997,36.2759,116.427,241.779,333.945,306.039,347.899,307.946,179.49,67.6532,60.633,41.4362,272.812,208.116,46.2261
"1552334_at",309.8,310.624,348.3,323.672,407.49,323.046,221.269,236.619,285.422,206.583,200.391,268.367,321.492,319.424,315.355,343.928,414.045,355.606,254.911,210.162,250.233,202.588,212.123,309.757
"1552335_at",66.9481,98.5888,81.7986,68.2685,73.7285,88.0009,137.858,63.4402,95.3665,65.0027,84.1666,105.223,73.7401,85.2226,43.0628,105.011,73.1744,102.999,102.647,81.742,113.983,102.351,106.669,84.4115
"1552337_s_at",197.512,261.251,200.035,197.793,313.997,190.119,36.6516,34.1803,33.407,70.9807,14.6429,47.1072,215.115,235.638,236.729,252.954,320.081,261.936,74.0119,36.4465,61.8571,71.0854,60.1727,69.4337
"1552338_at",3.87197,3.32601,5.10548,3.79644,3.11044,2.69676,2.53701,5.08013,2.63155,3.21775,3.03193,3.84571,3.46827,4.30254,2.73791,3.57744,4.07481,4.41036,4.1577,3.61946,2.39065,3.18633,2.87359,3.35178
"1552340_at",32.7713,50.5748,15.7564,6.9123,7.21454,10.8345,5.70741,8.24464,15.9423,39.3021,18.8798,40.3949,34.5518,3.3507,34.338,28.7964,7.0611,17.6379,6.49977,3.24448,49.4865,5.17835,18.9236,4.27902
"1552343_s_at",45.9576,35.2454,14.8297,57.8431,45.6485,39.1158,59.6145,25.3024,36.0367,3.4889,33.8193,23.2476,29.8708,71.3426,18.8645,62.3708,56.145,45.5733,13.715,20.596,55.2823,5.57344,32.8452,12.4372
"1552344_s_at",733.528,746.462,771.229,845.99,761.72,790.873,1268.56,1161.55,1192.45,1133.86,1247.82,1425.25,778.449,858.235,818.592,766.05,792.155,689.885,1514.85,1549.58,1665.25,1395.75,1407.96,1480.72
"1552347_at",508.298,485.766,451.319,516.01,459.631,519.302,448.011,428.984,399.194,397.179,330.188,325.402,397.909,596.14,398.451,495.729,488.879,508.456,424.413,418.88,430.388,375.273,422.124,399.685
"1552348_at",94.14,54.774,19.3704,68.0365,8.81194,9.80002,31.7289,10.0726,16.3282,17.7941,34.5958,23.8992,10.5052,51.3164,34.8462,21.24,10.7744,54.0302,5.68014,77.5757,3.8007,11.2235,88.048,8.38479
"1552349_a_at",8.16148,8.42961,48.0552,5.1814,7.49885,2.22847,6.64307,7.8953,34.6974,67.9103,38.7981,3.53737,6.0591,7.73254,54.7791,3.64537,23.2937,66.8829,38.9716,8.99307,37.1358,22.6159,1.62912,2.29382
"1552354_at",9.31009,5.76833,15.5574,7.80272,13.8545,11.7134,5.54533,11.416,13.0419,13.9384,11.7941,15.8314,15.1166,9.55804,10.0888,12.6839,9.06299,7.27656,10.1867,11.1393,5.49791,13.2947,8.96609,9.26149
"1552355_s_at",9.01141,6.86896,6.77219,10.6278,6.78641,8.05684,20.8142,13.6458,11.1312,9.07669,31.501,6.08904,5.37549,10.7287,8.79155,4.84196,15.1891,13.811,6.8319,72.4207,10.0808,10.7927,6.83672,32.6626
"1552359_at",1.7446,10.5335,6.99181,20.1934,1.70923,2.68256,2.28753,1.39694,2.7231,24.597,65.1905,17.8361,1.64158,25.6071,1.89563,3.88779,16.424,0.970415,1.44005,34.2756,17.6052,9.41853,1.69235,1.87774
"1552360_a_at",223.564,221.348,245.76,231.229,266.033,232.972,100.935,137.978,152.789,129.676,152.836,155.421,209.771,225.647,218.808,200.143,206.261,188.268,153.569,188.609,101.041,95.7839,140.013,123.247
"1552362_a_at",76.9345,64.2852,67.3676,63.3083,46.658,40.7364,17.3788,54.3337,47.9635,7.31035,20.7436,63.5734,45.9702,55.4589,40.8044,11.8216,77.6353,72.6161,40.9532,65.6725,16.0108,42.2959,29.5287,31.301
"1552364_s_at",108.972,119.442,103.26,91.6489,76.2879,91.2394,142.186,183.648,120.773,142.719,136.13,125.393,99.8457,80.0109,101.116,70.9708,69.8597,108.569,203.313,152.299,116.883,163.544,129.492,154.644
"1552365_at",2.56546,1.43873,4.80744,2.3514,0.808528,23.4689,3.62405,1.10571,12.7343,3.91634,17.7581,4.41158,9.30938,9.18747,1.88555,12.5351,3.49926,14.31,11.8721,1.45357,19.2238,4.05015,0.42219,5.20079
"1552367_a_at",1.01219,1.69117,1.72456,2.12412,1.34332,1.62569,3.37617,2.8826,1.13949,33.8619,3.33592,3.84312,1.98484,2.00591,3.93605,3.50758,5.00288,2.26671,2.06225,2.04664,1.3721,1.11585,2.14777,0.907823
"1552368_at",4.66168,22.6768,31.33,1.12836,3.56924,33.6375,25.389,36.915,3.3,31.9089,2.30052,28.5108,4.32634,1.7003,16.7869,22.3809,2.8903,30.854,4.71994,10.6056,31.3572,5.17831,6.42397,30.2264
"1552370_at",141.365,153.741,113.47,109.5,156.455,188.958,275.667,205.077,291.173,283.277,344.524,327.558,125.111,162.877,119.617,132.56,119.369,161.583,207.31,259.616,284.469,262.715,261.899,236.603
"1552372_at",0.788265,19.0939,20.8244,0.938386,13.3695,7.05141,1.57699,1.61239,15.6213,0.458469,9.59255,10.8882,5.76392,23.0164,21.111,3.29978,43.8006,2.34169,12.0595,13.1186,5.32926,18.8776,20.1829,1.01853
"1552373_s_at",3.35742,3.55517,34.0147,2.45371,3.78676,1.17144,1.80511,24.8994,19.3142,9.60647,11.0518,3.62157,4.91838,24.191,3.09552,18.9659,14.9012,29.3865,4.01261,17.0868,28.8049,2.55539,10.3614,6.03525
"1552375_at",46.2342,66.8388,48.9466,53.168,47.7267,70.4548,69.8268,74.3451,79.1919,86.7557,65.8973,110.369,45.3013,48.3817,79.3297,71.139,52.4034,93.5154,107.41,68.7493,67.248,65.5363,48.9874,106.886
"1552377_s_at",260.137,221.76,309.491,303.677,296.126,332.519,330.72,306.475,261.382,272.355,307.835,292.126,262.87,284.184,254.3,260.24,333.188,365.253,286.184,331.645,254.791,283.948,246.192,223.145
"1552378_s_at",223.322,261.441,208.86,207.937,308.374,264.317,125.033,81.2175,135.503,82.3556,131.221,141.197,323.384,311.838,280.915,296.938,310.503,213.428,141.431,106.9,179.567,84.4105,167.349,128.129
"1552379_at",21.3624,3.33572,3.23446,11.5465,22.7444,15.4857,1.96507,1.58534,4.69682,2.94277,39.2549,23.9212,0.752339,10.0874,1.33823,24.0518,3.24112,1.17413,2.59783,4.06633,14.0048,1.40452,2.22276,4.47105
"1552381_at",27.5647,4.50409,1.02985,8.32642,1.19651,3.38136,5.78447,18.2114,52.4379,39.9875,0.639335,1.35957,2.94044,14.4028,17.1484,58.6647,3.106,44.1788,2.06559,19.7471,10.9578,2.70395,33.8747,8.42876
"1552383_at",90.5621,124.117,70.4835,31.4492,135.896,116.528,26.6197,170.328,28.6982,59.0682,88.9737,71.4024,89.0406,133.721,81.3407,84.9982,75.5143,44.9207,73.6947,109.552,105.815,84.0725,97.5545,85.4856
"1552384_a_at",55.7325,48.8101,60.1947,43.4998,33.4319,43.5717,6.72612,19.9294,34.9838,6.45281,9.11648,56.24,38.8696,36.2739,23.4279,42.1133,89.2301,27.5357,9.19933,14.491,8.75327,10.2686,48.0878,48.4007
"1552386_at",21.1241,27.4903,21.8204,15.1178,4.40695,13.5266,36.4287,3.02888,24.0892,2.24284,2.05566,14.5106,4.95169,1.46845,1.96513,1.18644,15.2555,14.5526,9.2007,18.1087,1.11549,9.43541,9.38702,14.8863
"1552388_at",50.1691,31.0793,17.2916,29.4386,9.01997,62.8581,13.2435,53.5248,67.9615,21.2771,45.4762,25.4273,16.7642,9.68015,17.1164,19.4196,10.5132,9.26616,14.2637,9.22536,15.4331,19.7938,65.117,14.562
"1552389_at",3.68813,3.86727,2.77395,4.69972,3.37074,3.20423,1.08848,0.961872,11.4694,4.27666,11.3085,3.19602,8.30402,15.2928,16.003,20.5372,30.9615,6.38917,4.07763,6.57057,5.84666,7.64713,12.8866,0.792028
"1552390_a_at",4.35515,33.4734,4.72001,4.68838,3.47845,4.48246,3.4713,4.06801,9.38884,1.59118,17.0058,26.1136,2.90141,14.5388,4.56285,4.84079,1.8202,3.4816,1.52599,5.50332,2.27885,8.9165,1.88069,3.24267
"1552391_at",20.657,30.1308,6.80332,2.99395,5.4751,30.2371,14.7888,4.20808,2.16,36.9332,3.74494,4.77363,18.2611,7.04735,5.7322,22.2993,8.01031,4.97164,7.18662,6.43461,19.5015,3.57033,44.378,31.9847
"1552393_at",25.1711,2.54,16.5324,33.1906,1.78317,4.0072,1.89962,2.59916,9.64191,7.86841,9.73831,1.33965,4.11681,1.08194,1.88508,0.666524,1.79393,19.9657,12.2801,0.497504,3.35884,12.8867,1.31883,22.952
"1552394_a_at",1.99542,4.55982,3.08263,5.14229,2.2479,18.4346,8.75136,14.7955,10.2008,2.71033,14.0571,3.3253,16.3513,32.9468,15.8825,13.2041,9.17565,4.89252,13.6295,2.73688,1.18787,3.21883,10.0712,2.75642
"1552395_at",46.5537,38.2759,42.9491,28.3279,43.9183,25.9659,30.4881,30.4601,26.6722,33.4294,43.7744,13.1112,28.9271,34.3428,5.76859,21.2268,34.6307,41.6902,17.4864,42.657,35.6126,43.8386,38.5063,32.8527
"1552396_at",7.98712,32.1153,10.1053,7.16211,3.30418,8.79302,9.43607,12.3115,7.91682,19.8478,6.4797,5.93214,41.1077,15.6645,39.51,7.30562,25.4956,12.1826,7.81139,20.8986,10.4309,8.18874,4.92203,28.4823
"1552398_a_at",9.59525,1.73267,1.9199,17.0188,6.98918,5.34406,7.61332,10.1051,5.3093,1.57653,2.55894,19.5609,9.6465,10.5165,19.6311,6.236,38.3702,6.6465,21.9721,2.91874,6.97675,12.4643,1.06641,1.44836
"1552399_a_at",86.4127,100.824,56.5863,108.925,65.1338,51.4386,86.7734,69.1864,96.9149,96.9131,82.7403,107.713,82.5936,64.4779,89.4395,102.904,146.773,56.4096,118.203,135.023,89.8545,125.674,103.749,113.24
"1552400_a_at",59.7685,15.6477,71.5645,83.8776,38.868,44.2725,20.804,52.7089,42.2094,36.1792,51.0872,109.925,51.3752,74.4857,100.624,73.4463,60.0955,133.244,27.1184,70.073,69.7703,15.1297,5.10566,75.7914
"1552401_a_at",43.1816,44.4936,24.0914,9.48683,33.0084,2.99433,6.06535,18.5494,43.726,2.46684,27.4331,2.64813,30.6166,1.7232,13.1276,33.5857,32.0704,18.7271,29.8054,67.2793,24.902,23.7569,6.02211,30.2759
"1552402_at",9.77634,11.1068,28.1427,5.86275,6.67632,10.0786,39.9625,9.26003,42.9008,10.164,7.10964,19.0865,9.3533,9.76445,6.22789,58.5655,38.1306,6.23437,5.33948,2.39145,1.46094,3.68914,44.6891,35.987
"1552405_at",54.3011,27.9826,54.5803,18.4054,30.7578,36.2872,12.2134,6.27877,67.459,20.0884,51.0966,34.4608,45.4343,14.9483,15.3479,14.5935,12.7304,16.2477,17.8786,36.5599,12.6504,12.9447,7.38884,7.28104
"1552408_at",41.209,6.72786,23.1495,34.7998,16.2086,18.9033,25.6132,16.6162,34.2561,10.2549,24.9952,29.9392,1.5413,3.33978,28.1555,21.8146,17.975,21.8252,27.3881,33.215,25.46,6.40106,31.4077,19.2073
"1552409_a_at",39.4811,9.68414,45.7272,50.6471,5.6799,14.3977,8.39336,21.1606,16.7544,41.1619,58.1081,9.37993,19.7218,20.328,15.6622,12.6222,10.0813,15.6757,17.4686,12.024,15.7057,13.0338,12.1454,12.5671
"1552410_at",55.6904,58.4425,52.6315,23.8399,39.4808,22.5259,32.2132,34.7395,67.8696,23.5581,50.807,50.7553,65.6997,72.0148,74.0775,71.3562,65.9236,50.5049,49.1835,51.0972,58.925,20.5954,68.9998,38.8669
"1552411_at",97.0139,144.884,55.0605,82.3259,8.01258,16.1718,14.8762,40.3708,23.4741,19.4286,40.8689,68.3492,131.589,58.4488,59.8448,39.1427,31.2985,41.6582,18.4232,17.7578,23.9477,9.36455,21.1427,50.9205
"1552412_a_at",9.08443,38.0027,14.7827,2.24278,9.68127,3.95533,7.2055,1.77673,3.13242,4.87719,2.74571,19.3051,18.1911,2.72712,25.2601,21.2518,37.8999,4.58202,3.52989,3.28635,4.07926,8.62209,3.39718,19.7539
