"","GSM614501","GSM614502","GSM614503","GSM614504","GSM614505","GSM614506","GSM614507","GSM614508","GSM614509","GSM614510","GSM614511","GSM614512","GSM614513","GSM614514","GSM614515","GSM614516","GSM614517","GSM614518","GSM614519","GSM614520","GSM614521","GSM614522","GSM614523","GSM614524"
"225969_at",508.248,468.453,501.322,560.488,537.175,544.237,474.026,510.15,460.694,507.767,558.178,534.935,469.235,462.824,454.698,533.861,536.762,446.482,565.867,510.932,514.693,518.213,511.433,524.594
"225970_at",441.499,402.418,386.396,332.263,387.276,432.53,258.022,228.595,264.692,257.677,245.571,215.892,387.805,528.773,351.477,343.002,396.884,341.225,210.389,198.512,200.707,262.722,302.333,286.833
"225971_at",514.273,486.528,453.843,573.278,545.265,383.039,470.249,520.079,454.182,313.026,402.253,287.781,568.005,608.099,535.37,533.094,583.759,576.312,428.965,459.784,451.42,418.375,476.346,359.761
"225972_at",215.096,263.85,212.689,228.206,226.216,226.193,332.676,411.028,333.34,343.946,460.366,472.101,247.032,227.667,280.546,207.512,198.831,216.439,399.425,387.779,347.394,406.817,369.907,381.62
"225973_at",997.599,1049.33,944.913,1029.21,982.834,991.922,881.092,901.51,833.5,908.17,803.557,870.473,958.771,904.887,872.636,935.379,928.768,879.403,770.424,831.826,814.635,853.221,929.738,850.178
"225974_at",1571.82,1615.69,1518.36,1570.62,1507.16,1650.07,2527.87,2581.74,2811.44,2810,2864.5,2256.12,1541.92,1509.08,1578.53,1454.21,1316.52,1416.71,2813.37,3019.15,2743.09,3014.26,2739.78,2897.83
"225975_at",66.0512,48.4433,78.2297,30.2702,23.1207,43.2113,34.5783,11.8387,62.1257,82.7088,34.5176,49.9812,37.9909,74.1363,30.6755,50.5779,54.2388,42.8353,54.9493,39.5249,64.4139,34.9484,4.45535,29.4566
"225976_at",1333.93,1411.85,1304.36,1352.1,1402.09,1355.73,1323.61,1456.33,1393.91,1556.58,1280.51,1311.59,1406.61,1369.86,1385.11,1326.19,1287.97,1431.73,1369.9,1339.49,1496.98,1287.28,1318.4,1453.5
"225977_at",8.25288,4.33989,5.823,4.66613,18.6941,7.64013,4.21894,12.5843,5.91631,5.40775,5.65641,9.53555,6.09581,5.74456,6.19475,25.0176,3.91589,5.27528,8.30496,8.2176,6.21148,3.87746,5.00457,16.0498
"225978_at",695.214,535.346,674.262,690.362,737.276,690.228,557.406,568.293,510.312,530.291,468.17,664.093,640.304,771.333,604.982,634.245,612.41,829.311,390.178,439.773,418.561,423.56,464.548,434.052
